"uid","relationship","pid"
 "GB002","17","1803"
 "GB002","1","2586"
 "GB003","17","1805"
 "GB005","17","3690"
 "GB005","1","2283"
 "GB007","17","58"
 "GB008","17","3031"
 "GB008","1","2193"
 "GB009","17","1499"
 "GB009","1","2493"
 "GB010","17","3748"
 "GB010","1","1298"
 "GB011","17","3748"
 "GB011","1","1298"
 "GB012","17","1567"
 "GB012","1","3541"
 "GB013","17","1096"
 "GB013","1","1354"
 "GB014","17","1097"
 "GB014","1","2201"
 "GB015","17","1501"
 "GB015","1","2197"
 "GB016","17","3166"
 "GB017","17","325"
 "GB052","17","4108"
 "GB018","17","325"
 "GB018","1","1687"
 "GB019","17","1578"
 "GB019","1","997"
 "GB020","17","1578"
 "GB020","1","997"
 "GB021","1","2500"
 "GP036","17","4012"
 "GB022","1","2500"
 "GB023","17","3177"
 "GB024","17","3004"
 "GB024","1","2336"
 "GB026","17","1708"
 "GB029","17","2725"
 "GB029","1","1685"
 "GB030","17","2838"
 "GB030","1","1442"
 "LS001","17","378"
 "LS001","1","1391"
 "LS003","17","409"
 "LS003","1","2673"
 "LS004","17","409"
 "LS004","1","2673"
 "LS005","17","2846"
 "LS005","1","1677"
 "LS008","17","3854"
 "LS008","1","159"
 "LS009","17","263"
 "LS009","1","2611"
 "LS010","17","2918"
 "LS011","17","407"
 "LS011","1","2487"
 "LS012","17","1957"
 "LS012","1","3548"
 "LS014","17","2048"
 "LS014","1","2311"
 "LS015","17","1648"
 "LS015","1","1860"
 "LS016","17","1960"
 "LS016","1","2427"
 "LS017","17","284"
 "LS017","1","2257"
 "LS018","17","284"
 "LS018","1","2257"
 "LS019","17","351"
 "LS019","1","2321"
 "LS021","17","825"
 "LS023","17","1811"
 "LS023","1","703"
 "LS024","17","365"
 "LS024","1","535"
 "LS025","17","326"
 "DB034","17","3999"
 "LS027","17","323"
 "LS027","1","461"
 "LS028","17","323"
 "LS028","1","461"
 "LS029","17","3657"
 "LS029","1","145"
 "LS030","17","3343"
 "LS030","1","1854"
 "PA083","5","32"
 "GB032","17","196"
 "GB032","1","133"
 "DP092","17","977"
 "GB034","1","3109"
 "GB035","17","3657"
 "GB035","1","145"
 "GB036","17","3644"
 "GB036","1","162"
 "GB039","17","1977"
 "GB040","17","1980"
 "GB040","1","116"
 "DB029","17","3999"
 "GB041","1","2497"
 "GB044","17","1563"
 "GB044","1","1899"
 "GB046","17","180"
 "GB046","1","695"
 "GB047","17","180"
 "GB047","1","695"
 "GB048","17","180"
 "GB048","1","695"
 "GB049","17","1989"
 "GB049","1","1397"
 "GB050","17","3017"
 "BB047","1","4109"
 "GB052","18","1637"
 "GB053","17","1992"
 "GB055","17","1564"
 "GB055","1","2548"
 "GB056","17","1815"
 "GB056","1","1168"
 "GB057","17","2915"
 "GB057","1","1022"
 "GB058","17","2000"
 "LS031","17","1976"
 "LS031","1","2173"
 "LS032","17","1976"
 "LS032","1","2173"
 "LS033","17","3713"
 "LS033","1","673"
 "LS034","17","182"
 "LS034","1","1314"
 "LS035","17","182"
 "LS035","1","1314"
 "LS036","17","382"
 "LS036","1","1660"
 "LS038","17","1767"
 "LS038","1","2277"
 "LS039","17","496"
 "LS039","1","3130"
 "LS040","17","1985"
 "LS040","1","2560"
 "LS041","17","3826"
 "LS041","1","113"
 "LS042","17","179"
 "LS042","1","110"
 "BA059","17","4029"
 "GP033","17","4027"
 "GP040","17","4034"
 "LS044","1","2534"
 "BA058","17","4031"
 "LS045","1","2534"
 "LS046","17","1581"
 "LS046","1","2641"
