"uid","idx","role","description"
 "LS050","1","creator","wrote plays for school children"
 "GB089","1","translator","_Rule of St Benedict_, 1632"
 "LS061","1","subject","Mother Joseph Smith's biography"
 "GB118","1","dedicatee","Tobie Matthew, Life of Lucy Knatchbull"
 "GB118","2","dedicatee","Paul de Barry, Pensez-y Bien, Think Well on it, trans. Francis Chamberlayn, 1665"
 "GB118","3","creator","The foundation of Boulogne written by my Lady Mary Knatchbull, MS"
 "BF167","1","translator","Latin and French service books"
 "LS101","1","creator","_A Brief Relation of the Order and Institute of the English Religious Women at Liege_"
 "BB145","1","dedicatee","Alexia Grey, The Rule of St Benedict, 1632"
 "BB058","1","translator","The Mantle of the Spouse: see Bib Dict"
 "GB168","1","creator","Annals of Five Communities of English Benedictine Nuns...."
 "GB178","1","subject","Poem written by brother: Annals p172. "
 "LS205","1","creator","Account of migration to England"
 "CB029","1","creator","MS Lady Faulkland: her life. Lille MS 20 H9"
 "BF109","1","translator","_A short relation of the life, virtues and miracles of St Elizabeth... Bruxelles_, 1628"
 "GP109","1","translator","History of the Angelicall Virgin Glorious St Clare"
 "AC020","1","subject","T Hunter, _An English Carmelite: the life of Catharine Burton, Mother Mary Xaveria of the Angels_"
 "GP029","1","translator","History of the Angelicall Virgin Glorious St Clare..."
 "BB002","1","creator","MS Life of Father Cornelius the Martyr: formerly in Vatican Archives (ODNB)"
 "LA058","1","subject","MS life by Elizabeth Shirley"
 "LA229","1","creator","MS life of Margaret Clement"
 "BA106","1","creator","MS spiritual autobiography"
 "LS061","2","subject","T/B 165/174 MS Life of Mary Christina Dennett "
 "PA168","1","creator","of thirty-three manuscript poems"
 "GP302","1","subject","An _Abridgement of her Life_ was published with the life of Trevor Warner in London, 1692 "
 "GP052","1","creator","Portrait facing p55 CRS vol"
 "GP233","1","dedicatee","_A translation of the life of Sister Joan of the Cross_, Francis Bell, 1625"
 "GP232","1","dedicatee","_The history, ... of... Joane of the Cross_"
 "AC049","1","creator","MS Life of Mother Anne of the Ascension"
 "AC069","1","creator","First compiler of Antwerp annals"
 "BA101","1","creator","A daily exercise and devotion for the gentlewomen pensioners, Douai, 1712"
 "BA101","2","creator","Several excellent methods of hearing Mass, Bruges, John de Cock, 1722"
 "GP233","2","creator","Account of the duties of the vicaress by Rev. M. Margaret Paul Radcliffe."
 "BB107","1","subject","The Life of Lady Lucy Knatchbull ... Now first printed from the original manuscript with an introduc"
 "BA101","3","creator","Motives to excite us ...."
 "CB150","1","subject","portrait at Burghwallis Hall"
 "BA106","2","creator","MS Spiritual dramas"
 "BA106","3","creator","MS translations from French & Dutch works of piety"
 "BD037","1","creator","MS Prayers, devotions & spiritual exercises: see bib dict"
 "RP101","1","subject","A Butler, Life and Virtues... 1767, London"
 "PB056","1","creator","documents and history of the convent during the French Revolution"
 "CB137","1","creator","_Confessio amantis_, Paris, 1658 by Fr Serenus Cressy OSB"
 "CB137","2","creator","Fragments"
 "CB137","3","creator","Apology"
 "CB137","4","subject","_The Inner Life of Dame Gertrude More_ by Fr Augustine Baker OSB"
 "GP303","1","subject","_Life of the Lady Warner of Parham_ 1691"
 "BF215","1","creator","vocal music for choir"
 "CB137","5","subject","_The Spiritual Exercises of Gertrude More_,  Paris, 1658, Fr Francis Gage"
 "RP002","1","creator","Poem on the sighs of decaying years, in 82 verses: see Foley p839"
 "RP002","2","creator","Poem upon the Passion of our Lord: see Foley p839"
 "CB043","1","creator","MS Gemitus Peccatorum or the Complaints of Sinners... 1649"
 "CB077","1","subject","MS Life and Death of Dame Margaret Gascoigne by Augustine Baker"
 "CB136","1","translator","_A Treatise of the ruin of proper love_, in French by Dame Jeanne de Cambrai OSA"
 "GB119","1","creator","Relation of the Establishment of the Benedictine Dames at Ghent, 1718"
 "AC095","1","subject","_The Life of M. Mostyn_, Edmund Bedingfield, 1878"
 "BA151","1","subject","Attestation of the Physician on the miraculous cure.... 1784"
