"uid1","idx","uid2"
 "GB028","6","GB006"
 "GB010","1","GB011"
 "GB019","1","GB020"
 "GB021","1","GB022"
 "BF139","2","GB113"
 "GB006","6","GB028"
 "LS003","1","LS004"
 "LS012","1","LS013"
 "LS017","1","LS018"
 "LS027","1","LS028"
 "GB180","0","GB034"
 "GB046","1","GB047"
 "GB046","1","GB048"
 "GB047","1","GB048"
 "GB053","1","GB054"
 "GB050","2","GB053"
 "GB054","2","GB050"
 "LS031","1","LS032"
 "LS034","1","LS035"
 "DB026","1","DB031"
 "LS044","1","LS045"
 "LA143","3","LA237"
 "GB035","2","LA143"
 "LS052","1","LS053"
 "LS057","1","LS058"
 "GB064","1","GB065"
 "GB072","1","GB073"
 "GB074","1","GB075"
 "LS061","1","LS062"
 "LS063","1","LS064"
 "LS193","1","LS192"
 "LS193","1","LS191"
 "LS087","1","LS088"
 "GB101","1","GB102"
 "GB118","7","GB119"
 "LS091","1","LS092"
 "LS108","1","LS109"
 "LS108","1","LS110"
 "LS110","1","LS109"
 "GB126","1","GB127"
 "GB135","1","GB136"
 "GB139","1","GB140"
 "GB058","3","BB063"
 "LA282","1","LA284"
 "GB147","1","GB148"
 "LS135","1","LS136"
 "LS143","1","LS144"
 "GB160","1","GB161"
 "GB163","1","GB164"
 "GB207","7","PA168"
 "BB081","3","DB124"
 "BF124","1","BF125"
 "GB176","1","GB177"
 "LS167","1","LS168"
 "LS167","1","LS169"
 "LS167","1","LS170"
 "LS168","1","BB138"
 "LS168","1","LS169"
 "LS168","1","LS170"
 "LS169","1","LS170"
 "LS172","1","LS173"
 "LS176","1","LS177"
 "LS176","1","LS178"
 "LS177","1","LS178"
 "GB185","1","GB186"
 "BF063","3","LS016"
 "GB197","1","BB152"
 "LS191","1","LS192"
 "LS196","1","LS197"
 "LS200","1","LS201"
 "LS203","1","LS204"
 "LS205","1","LS206"
 "LS210","1","LS211"
 "LS210","2","LS212"
 "LS210","2","LS213"
 "GB215","1","GB216"
 "GB218","1","GB219"
 "GB222","1","GB223"
 "GB234","1","GB236"
 "GB239","1","GB240"
 "LS211","2","LS212"
 "LS211","2","LS213"
 "LS213","1","LS212"
 "LS226","1","LS229"
 "GB197","7","GP020"
 "LS238","1","GB245"
 "LS243","1","LS244"
 "BB107","2","GB118"
 "LA013","4","LA012"
 "GB050","2","GB054"
 "BB152","3","BB114"
 "BB152","3","GB208"
 "BB152","2","GB198"
 "GB117","1","GB116"
 "GB117","3","GB118"
 "GB117","3","GB121"
 "BB107","2","GB117"
 "GB121","1","GB118"
 "GB121","3","GB116"
 "BB107","2","GB121"
 "GB116","3","GB118"
 "BB107","2","GB116"
 "GB121","7","GB119"
 "GB197","2","GB198"
 "LS067","3","LS016"
 "GB126","2","GB128"
 "GB127","2","GB128"
 "LA164","1","GB126"
 "LA164","1","GB127"
 "LA164","2","GB128"
 "GB017","1","GB018"
 "GB017","3","GB016"
 "GB017","3","GB015"
 "GB018","3","GB016"
 "GB018","3","GB015"
 "GB016","3","GB015"
 "GB197","3","GB208"
 "LS246","8","LS067"
 "LC065","1","LC063"
 "BA223","8","GP114"
 "AC096","7","LC074"
 "AC096","2","LC065"
 "AC095","2","LC063"
 "BB186","2","LA288"
 "BB166","3","BB189"
 "BD015","1","BD016"
 "BD016","2","BD017"
 "BD015","2","BD017"
 "GB234","1","GB235"
 "GB235","1","GB236"
 "BA118","1","BA119"
 "BA120","1","BA121"
 "BA120","1","BA122"
 "BA121","1","BA122"
 "BA120","2","BA123"
 "BA119","2","BA120"
 "BA118","2","BA120"
 "BA121","2","BA123"
 "BA122","2","BA123"
 "BA119","7","BA123"
 "BA118","7","BA123"
 "BA119","2","BA121"
 "BA119","2","BA122"
 "BA118","2","BA121"
 "BA118","2","BA122"
 "GP027","1","LA023"
 "GP027","1","GB015"
 "GP027","1","BA094"
 "GP027","1","GP026"
 "GP027","1","AC012"
 "GP027","1","AC013"
 "GP027","1","LA024"
 "GP027","3","GB016"
 "GP027","3","AC011"
 "GP027","3","GB017"
 "GP027","3","GB018"
 "GP027","3","AC010"
 "GP026","1","LA023"
 "GP026","1","GB015"
 "GP026","1","BA094"
 "GP026","1","AC012"
 "GP026","1","LA024"
 "GP026","3","GB016"
 "GP026","3","AC011"
 "GP026","3","GB017"
 "GP026","3","AC010"
 "GP026","3","GB018"
 "GP026","1","AC013"
 "LA023","1","GB015"
 "LA023","1","BA094"
 "LA023","1","AC012"
 "LA023","1","AC013"
 "LA023","1","LA024"
 "LA023","3","GB016"
 "LA023","3","AC011"
 "LA023","3","GB017"
 "LA023","3","AC010"
 "LA023","3","GB018"
 "LA024","1","GB015"
 "LA024","1","BA094"
 "LA024","1","AC012"
 "LA024","1","AC013"
 "LA024","3","GB016"
 "LA024","3","AC011"
 "LA024","3","GB017"
 "LA024","3","AC010"
 "LA024","3","GB018"
 "BA094","1","GB015"
 "GP008","1","GP010"
 "BA094","1","AC012"
 "BA094","1","AC013"
 "BA094","3","GB016"
 "BA094","3","AC011"
 "BA094","3","GB017"
 "BA094","3","AC010"
 "BA094","3","GB018"
 "GP008","1","GP012"
 "GP010","1","GP012"
 "GP026","2","BA019"
 "GP026","7","BA016"
 "GP026","7","BA018"
 "GP027","2","BA019"
 "GP027","7","BA016"
 "GP027","7","BA018"
 "LA024","2","BA019"
 "LA024","7","BA016"
 "LA024","7","BA018"
 "LA023","7","BA016"
 "LA023","7","BA018"
 "LA023","2","BA019"
 "BA094","2","BA019"
 "BA094","7","BA016"
 "BA094","7","BA018"
 "BA016","1","BA018"
 "BA019","2","BA016"
 "GB015","7","BA016"
 "AC012","7","BA016"
 "AC013","7","BA016"
 "BA019","2","BA018"
 "GB015","7","BA018"
 "AC012","7","BA018"
 "AC013","7","BA018"
 "GB015","2","BA019"
 "AC012","2","BA019"
 "AC013","2","BA019"
 "AC010","1","GB018"
 "AC010","1","GB017"
 "AC010","3","AC011"
 "AC010","3","GB016"
 "AC010","3","AC013"
 "AC010","3","AC012"
 "AC010","3","GB015"
 "AC011","1","GB016"
 "AC011","3","GB018"
 "AC011","3","GB017"
 "AC011","3","AC013"
 "AC011","3","AC012"
 "AC011","3","GB015"
 "AC012","1","GB015"
 "AC012","1","AC013"
 "AC012","3","GB016"
 "AC012","3","GB017"
 "AC012","3","GB018"
 "AC013","1","GB015"
 "AC013","3","GB016"
 "AC013","3","GB017"
 "AC013","3","GB018"
 "LA311","1","LA315"
 "LA311","1","LA319"
 "LA315","1","LA319"
 "LA318","1","LA313"
 "LA318","7","LA319"
 "LA318","7","LA315"
 "LA318","7","LA311"
 "LA313","7","LA319"
 "LA313","7","LA315"
 "LA313","7","LA311"
 "LA002","1","LA003"
 "GP095","1","GP096"
 "GB104","3","BD040"
 "GB104","3","BD037"
 "GB104","3","BD038"
 "BD038","1","BD037"
 "BD038","1","BD040"
 "BD037","1","BD040"
 "GB218","2","GB220"
 "GB218","2","GB222"
 "GB218","2","GB223"
 "GB218","7","GB221"
 "GB219","2","GB220"
 "GB219","2","GB222"
 "GB219","2","GB223"
 "GB219","7","GB221"
 "GB220","1","GB222"
 "GB220","1","GB223"
 "GB220","2","GB221"
 "GB222","2","GB221"
 "GB223","2","GB221"
 "BB052","1","BB051"
 "GP040","1","GP038"
 "GP040","1","GP042"
 "GP040","1","GB022"
 "GP040","1","GB021"
 "GP042","1","GP038"
 "GP042","1","GB022"
 "GP042","1","GB021"
 "GP038","1","GB022"
 "GP038","1","GB021"
 "GP114","8","BA224"
 "AC096","2","LC063"
 "BF190","1","LS173"
 "LC064","1","LC063"
 "AC095","2","LC064"
 "AC096","2","LC064"
 "AC096","7","LC073"
 "LC065","1","LC064"
 "AC095","2","LC065"
 "BF070","8","LC061"
 "BF070","8","BF069"
 "LC073","1","LC074"
 "AC095","7","LC074"
 "AC095","7","LC073"
 "GB251","1","MW170"
 "MW171","1","GB251"
 "LA201","2","LA200"
 "GP230","1","GP233"
 "GP230","1","GP232"
 "GP230","1","GP231"
 "GP231","1","GP233"
 "GP231","1","GP232"
 "GP232","1","GP233"
 "LA209","1","LA208"
 "GB212","1","BA175"
 "BB048","1","BB047"
 "GB052","0","BB048"
 "GB052","0","BB047"
 "LA013","4","LA069"
 "LA069","3","LA012"
 "BA009","2","BA010"
 "BA009","1","LA012"
 "BA009","3","LA069"
 "LA012","2","BA010"
