"cid","idx","place","date_from","date_to"
 "1","0","Bruges","1629","1802"
 "2","0","Louvain","1609","1794"
 "3","0","Paris","1634","1911"
 "4","0","Brussels","1599","1794"
 "5","0","Cambrai","1623","1795"
 "6","0","Dunkirk","1662","1794"
 "7","0","Ghent","1624","1794"
 "8","0","Paris","1652","1795"
 "9","0","Boulogne","1652","1657"
 "9","1","Pontoise","1658","1786"
 "10","0","Ypres","1665","1914"
 "12","0","Rouen","1580","1594"
 "12","1","Lisbon","1595","1809"
 "13","0","Antwerp","1618","1835"
 "14","0","Hoogstraten","1678","1795"
 "15","0","Lierre","1648","1794"
 "16","0","Brussels","1660","1794"
 "17","0","Brussels","1619","1636"
 "17","1","Nieuport","1637","1661"
 "17","2","Bruges","1662","1794"
 "21","0",NULL,NULL,NULL
 "23","0","Aire","1629","1795"
 "24","0","Dunkirk","1625","1795"
 "25","0","Gravelines","1606","1795"
 "26","0","Liège","1642","1794"
 "30","0","Rouen","1644","1795"
 "34","0","Paris","1659","1838"
 "40","0","Port Tobacco, Md","1790",NULL
 
