"uid","idx","note"
 "GB010","1","kinship links with Fortescue, Annals p15.
Mother is sister of Catherine Fortescue"
 "GB018","1","moved to Brussels permanently in 1661"
 "GB035","1","moved to Boulogne 1652: father murdered 1665. Also known under the surname Car[r]ington"
 "DB032","1","Nursed by the Bruges Augustinians, she died whilst on her way home from Aix. Because of her long term ill health her father obtained permission to take her to the baths at Aix in July 1729 and negotiated additional time before re-entering the convent in order to recover: see I annals 444."
 "BB190","1","Listed as pupil with Mary Ward Sisters Hammersmith 1705. See Bar Convent C44."
 "BB055","1","Signed her clothing enquiry with a cross, but signed her name for her profession, indicating that she had learnt to write in the interval."
 "GB071","1","Her father assisted with foundation of Boulogne."
 "RP185","1","Lived for some years with some French Ursulines nr St Malo then went to English Benedictines in Paris where she took the little habit."
 "GB074","1","Descended from martyr Sir Adrian Fortescue executed 1539: annals p15"
 "GB074","2","Kinship link to Aloysia Beaumont [GB 010]"
 "GB075","1","descended from martyr Sir Adrian Fortescue executed 1539 [great-great-granddaughter]: Annals p15"
 "RP043","1","Notes in Chron typescript suggest parents as John and Lucy Cary of Melford, Suff and sister of Edward Cary"
 "GB140","1","Moved to Boulogne 1652: convent moved to Pontoise 1658."
 "GB174","1","convent moved to Pontoise 1658. "
 "LS052","1","According to Foley, vii, 183, Tristram was probably the family name and Cross an alias."
 "LS172","1","sister to 2 Jesuits"
 "GB199","1","Rocksavage or Rock Savage is now a ruined country house in Clifton near Runcorn, Cheshire.Mother in ODNB."
 "PA018","1","Died during her noviciate."
 "PA019","1","Her royalist father died fighting in Oxford during the English Civil War."
 "GB118","1","Was responsible for the foundation of daughter houses at Boulogne in 1653,(moved to Pontoise 1658)in Dunkirk in 1662 and Ypres in 1665"
 "GB177","1","3 Jesuit brothers including Edward Petre alleged confessor to James II. Father also known as Thomas."
 "AC124","1","Her body was found to be incorrupt almost forty years later, prompting locals to venerate her as a possible saint (Hallett 165-9)."
 "LA059","1","Her nephew, Henry, was married to Mary Thimelby, who entered the same convent after her husband's death."
 "BB063","1","Sister of the Gunpowder plotter Sir Everard Digby. Aunt of Sir Kenelm Digby."
 "AC041","1","She directed the foundations in Bois le Duc (Bulducke) and Alost & Cologne.
Mentioned in Hardman (1937), p. 84, 128."
 "GB128","1","Sister of Francis Lawson OSB.  Aunt of Thomas Lawson SJ and William Lawson OSB."
 "GB127","1","Aunt of Francis Lawson OSB."
 "GB126","1","Aunt of Francis Lawson OSB."
 "LA164","1","Aunt of Francis Lawson OSB."
 "GB172","1","Father was steward to William 2nd baron Petre."
 "GB065","1","according to the Rouen Chronicle Ursula Fermor was a scholar at Rouen but was considered too infirm to enter there, she returned to England c. 1667 and from there joined Ghent, maintaining a cordial correspondence with Rouen. Rouen Chronicle Chapter 16.  "
 "DB181","1","Had been Maid of Honour to one of the Stuart Queens: chose to be lay sister out of humility. No other details known"
 "DB064","1","No other details known of her convent career."
 "BA122","1","Uncle Jesuit: [SJ]"
 "BA119","1","Enter text
niece in Pontoise"
 "LA301","1","Father executed for role in Gunpowder Plot: Petre connections"
 "GP095","1",""
 "GP096","1",""
 "GB126","2","Great-aunt of four Mary Ward sisters and Mary Laurentia of Pontoise."
 "GB040","2","Her brother was created a Jacobite peer by James II. Father benefactor of community: Dunkirk History 7, 14-5, 18-9. Brother visitor to convent and designer of buildings: Dunkirk History 13-4."
 "GP166","1","convert: obituary refers to her call to the Catholic faith. "
 "GB104","2","Her great-uncle was William Howard, viscount Stafford, who was executed in 1680.  His daughter was Mary Delphina Howard OSD (BD041)"
 "BD037","1","Her great-uncle was William Howard, viscount Stafford, who was executed in 1678.  His daughter was Mary Delphina Howard OSD (BD041)"
 "BD038","1","Her great-uncle was William Howard, viscount Stafford, who was executed in 1678.  His daughter was Mary Delphina Howard OSD (BD041)"
 "BD040","1","Her great-uncle was William Howard, viscount Stafford, who was executed in 1680.  His daughter was Mary Delphina Howard OSD (BD041)"
 "GP188","1","Entered novitiate at Aire, but left being unhappy at being governed by the Friars: Forster Rouen II, p 167."
 "BD041","1","Her father was beheaded in 1680."
 "DP093","1","Born 1718 accordig to Foley, based on Surtees' _History of Durham_, vol. i., p. 52."
 "BB201","3","Her father was cousin of Joanna Waldegrave, a nun at the Brussels Benedictine convent."
 "LA196","1","Foley 973 Tried out in Benedictine convent Brussels but was never well and decided to leave."
 "BB182","1","Her father died in the Tower having been drawn into the Gunpowder Plot."
 "LA113","1","Elizabeth converted to Catholicism: see Chronicles 241-51. After her father's death her mother who was Catholic endeavoured to bring her children into the Catholic faith: 'her daughter Elizabeth was the first that entred into the Church by reason that a Catholick maid who loved her dearly did often & earnestly desire her to think upon the state of her soul...' "
 "BF263","3","Mother was Mary Stanley-Massey-Stanley."
 "BB034","1","Jesuit brother, Father Brian Cansfield"
 "GB077","1","Enter text
Lay Title: Lady"
 "LC006","1","Hallett Chap 32 206; ...planned originally to join Benedictines in Paris because she was already familiar with them from her education with the Ursulines in Paris; however was delayed and decided to go to Lierre which her mother supported.

"
 "BB033","1","CRS Misc Vol 13, p7 She had two sisters nuns, one in the convent of Berlaymont, contiguous to the English convent at Brussels, and the other professed in the convent of La Cambre.'"
 "GP029","1","translation credited to both Bentley and Evelinge"
 "OB043","1","In the ODNB article on Barbara Palmer, duchess of Cleveland, Susan Wynne writes that the father of Barbara Fitzroy was probably John Churchill and was never acknowledged by the king as his daughter. The duchess' children took the surname Fitzroy in 1672 and were granted royal arms in February 1673. She left England to go abroad in order to economise in March 1676 taking her daughters with her. They were educated by the Conceptionists (Blue Nuns)in Paris, to which the duchess donated £1000 for new buildings. The compiler of the notes for the Diary of the Conceptionists (q.v) confirms Barbara Fitzroy's presence with the nuns from 1675 and gives the total gifts by the duchess as 15,630 livres: see 338-339. "
 "GP025","1","She was a Benedictine candidate in abbey Nonnebosch near Ypres; later at Ypres and arrived in Gravelines in 1678"
 "GP008","1","Sent in 1652 to found the convent in Dunkirk. Her father ran a secret printing press from home"
 "GP010","1","Her father ran a secret printing press from home.
Jubilarian"
 "GP012","1","Her father ran a secret printing press from home"
 "GP019","1","Her father had accompanied James II into exile and was an officer at his court, and died at Bruges in 1712.  Her paternal grandfather was Colonel Walter Bagenal, born 1614, who was executed by Cromwell at Kilkenny in 1652.  Her paternal grandmother was Elizabeth, daughter of Christopher Roper, 2nd Lord Teynham.  Her elder sister, Ann, married Sir Gervase Clifton, 4th bart, of Clifton, Notts, and after his death in 1731, she married William Blackburne Esq (CRS 14, pp. 114-15)."
 "GP016","1","Data given in Gravelines Chronicle pp 243-6 varies substantially on dates. It gives death as 1690 23 Nov aged 35 after 20 years of profession. At present there is no means of verifying either version of data.
CB Aug 2009"
 "GP020","2","Her father had accompanied James II into exile and was an officer at his court, and died at Bruges in 1712.  Her paternal grandfather was Colonel Walter Bagenal, born 1614, who was executed by Cromwell at Kilkenny in 1652.  Her paternal grandmother was Elizabeth, daughter of Christopher Roper, 2nd Lord Teynham.  Her elder sister, Ann, married Sir Gervase Clifton, 4th bart, of Clifton, Notts, and after his death in 1731, she married William Blackburne Esq (CRS 14, pp. 114-15)."
 "GP032","1","Her maternal grandfather was Richard Goodman, chief-yeoman of the buttery to Queen Elizabeth (CRS 14, p 57)."
 "PC013","1","Had been educated in the convent school.
Francis Talbot and his sister Lady Aston were guardians for her since childhood. Her parentage was kept secret but she was supposed to have been a natural daughter of George earl of Shrewsbury: see note in CRS vol. p331. Her unknown relations paid some of her dowry; the rest came from Lucy Talbot's fund: see p140."
 "LS202","1","Left with Trevor Warner and Elizabeth Warner to be  Poor Clare"
 "GP055","1","Father was knighted by James II in exile at St. Germains.  Paternal grandfather was Sir Richard Bulstrode, knight, envoy of Charles II and James II at Brussels.  (CRS 14, p 152)."
 "GP083","1","According to a footnote in CRS 14, p. 92, her nephew, George Collingwood of Eslington Hall, married Catherine, daughter of Henry Browne, 5th viscount Montagu, and was executed in Liverpool on 25 February 1716, for having joined the Chevalier de St George. This is an error for great-nephew, son of her nephew William and his wife Mary Forster (see ODNB)."
 "GP085","1","Sisters: Alexia and Mary, Dunkirk/ Related to Cecily Weston, OSB Pontoise/ half-niece to Helen and Mary, Aug Louvain/ related to Hellen Gage, OFM Bruges/ Her father was a lodger at Aug Louvain (cfr APs)"
 "GP090","1","Related to Joanna Crane, PC Dunkirk and Elizabeth, Francis, & Jane, (Bens Cambrai)"
 "GP103","1","Father was of Painsley Hall, in the parish of Draycot-in-the-Moors, Staffs (S. Lewis ed., A Topographical Dictionary of England [1848], p. 88) and obtained his Christian name after being born in St Alban's prison, where his father spent much time for his faith.  Many of the family were secular priests, Benedictines, Jesuits and nuns, some of them using the alias of Parker (CRS 14, p. 70)."
 "GP119","1","Her niece, Mary, born in 1719 to Richard Fletcher of Denton's Green, was allegedly cured from a serious disease in 1768 after the application of the relic of the hand of the martyr Edward Arrowsmith SJ (CRS 14, p. 119)"
 "GP120","1","A near relative to Catholic printer and exile, John Fowler, whose wife, Alice, was daughter of John Harris, secretary to Sir Thomas More (CRS p.32)
Jubilarian"
 "GP127","1","confined to room for 21 years"
 "GP147","1","two years as a novice"
 "GP261","1","Footnote to Gravelines text gives Ann as cousin to Mary Harrington; as a result also cousin to her sister Margaret Harrington, OSB Cambrai. However, the word cousin is elastic in our texts and amongst commentators. Although establishing the family descent is challenging, it passed through heiresses of the main Aigburgh line, which would exclude a first cousinship. "
 "GP148","1",""
 "GP149","1","Father was Steward to the Duke of Norfolk (CRS 14, p 39)"
 "GP150","1","Her grandfather was John Heywood, the epigrammist"
 "GP161","1","Father was a tenant farmer under the Heskeths.  Her father died in 1707 and her mother moved to Grimsargh, Lancs, and made a return as a non-juror in 1717 (CRS 14, p 145)."
 "GP213","1","Aunt to Bishop Thomas Penswick and the Rev John Penswick. Related to Clementina Johnson.
With the death of Mother Penswick the community was reduced to six: Bertrand 214 "
 "GP139","1","Became choir mistress and mistress of novices on coming to Rouen; portress in 1656; vicaress in 1658; daily communicant from 1660; elected abbess in 1670; deposed 1701 (Rouen I, chap 47)
Offices Change
Bertrand in his history of Gravelines p115 refers to her resigning in 1701"
 "GP257","1","Dowry paid by Katherine Petre, wife of 2nd baron"
 "GP264","1","Her portrait was painted in life and after death (R Chron I chap 21)."
 "GP277","1","Sister Bridgettine, Frances Victor d 1681 (pb 68, note by Gillow)"
 "GP294","1","sent to school at the Bar Convent 1715"
 "GP299","1","Her grandfather, Francis Tregian, was in prison for 28 years for his faith."
 "GP300","1","Her grandfather, Francis Tregian, was in prison for 28 years for his faith."
 "BB191","1","Her father was cousin to Frances Gawen, Barbara Waldegrave and Elizabeth Southcote, all nuns at the Brussels Benedictine convent."
 "BB054","1","Father was Recorder of Lincoln."
 "BA003","1","Educated by Benedictines, Ypres and sent to Bruges by her parents"
 "BA004","1","Pupil of convent school 1678."
 "BA005","1","Because of her bad health, she often had to visit England during her noviceship. Mother Protestant, Father Catholic."
 "BA009","1","Pupil in convent school 1634: two years a novice for want of portion. May have been born in Flanders."
 "BA013","1","Pupil of convent school 1650"
 "BA012","1","Pupil at convent school 1650"
 "BA016","1","Pupil at convent school 1643"
 "BA022","1","1684 gave fl 250 in memory of husband"
 "BA031","1","'...Pupil at the convent school. Her father was steward to Mr Sheldon of Weston. She did not have a full dowry, but was received because of her musical talent'."
 "BA034","1","Pupil in school 1649. "
 "BA039","1","Pupil in convent school. Jubilarian 1797. Dealyed her journey to England and went with the group that travelled in May 1797."
 "BA040","1","Joined with Lady Herbert"
 "BA042","1","Educated at the English Poor Clares, Dunkirk."
 "BA043","1","Educated by the Ursulines at Lille (French). Mother Protestant, Father Catholic"
 "GB046","1","Mother was cousin of Elizabeth and Ellen Gerard, Poor Clares at Gravelines. There was a portrait of one of the 3 sisters at Ugbrooke. Cliffordiana p42."
 "GB047","1","Mother was cousin of Elizabeth and Ellen Gerard, Poor Clares at Gravelines."
 "GB048","1","Mother was cousin of Elizabeth and Ellen Gerard, Poor Clares at Gravelines."
 "BA045","1","Her brother was created a Jacobite peer by James II."
 "BA046","1","Her brother was created a Jacobite peer by James II."
 "GB041","1","Her uncle was created a Jacobite peer by James II."
 "GB180","1","Identified in Foley's pedigrees as daughter of Thomas Audley Esq. Her first husband was Richard Butler of Callan, co Kilkenny, a branch of the family of the dukes of Ormonde. 

Husband (2) Francis Plowden identified in Foley's pedigrees. "
 "BD002","1","Annuity of 150 guilders a year to be paid by William Herbert, 1st marquess of Powis."
 "BD023","1","Paid the expenses for the clothing of Sister Clare Boucher; OA 212."
 "BD007","1","Sister Margaret Compton paid the expenses for her clothing: her Uncle march gave her the dowry; OA 212."
 "BD011","1","Her father was a merchant."
 "BD012","1","Her father was a merchant."
 "BD014","1","Her father was an ambassador of James II and her dowry was paid by the king's widow, Mary of Modena. Led into clothing by Prince Eugene son of Princess Sophia: see OA 210"
 "BD014","2","Her father converted to the Catholic faith whilst in exile (Glickman p259).
£400 agreed to be paid on restoration of James: see OA 211."
 "BD017","1","Second cousin of Fr John Busby, who had originally wanted to establish an English beguinage, but since no candidates found gave the property to the Dominicans: OA p209."
 "BD020","1","There was a family link with Fr John Canning OP from Bornem."
 "BD023","2","Her father was related to the Earl of Northampton."
 "BD025","1","Her father was a merchant."
 "BD026","1","She was baptized in the chapel of the Bavarian embassy. Death date supplied by J Chapman, PCC Hartpury, Gloucs: May 2011. "
 "BD027","1","Cardinal Howard promised to pay her 150 guilders a year for her life."
 "BD034","1","She came from the convent of Tempes in the diocese of Ghent with 2 other nuns and Antonia Howard."
 "BD029","1","Her father was a stocking merchant. Mother's surname also recorded as Veray: see OA 215."
 "BD030","1","Her father had charge of the convent's business until his death (CRS 25 p206)."
 "BA044","1","Pupil in convent school 1686."
 "BD032","1","Her father was a merchant."
 "BA046","2","Pupil in convent school 1649. "
 "BA047","1","pupil of convent school. She gave 'the guilding of the little altars by the choir door' in 1729.  "
 "BD044","1","Her aunt and godmother, Catherine Thorold, paid her dowry. Sister Mary Rosa Howard paid for her clothing and profession. OA p212"
 "BD045","1","Her father was a farmer. Mother's name also appears as Beadlam"
 "BA052","1","Pupil of convent school"
 "BA053","1","Pupil of convent school."
 "BD052","1","Received visions, recorded by her confessor: 'An account of some of the extraordinary favours God was pleased to doe Sister Francis Peck, religious of the Convent of the English Dominicans in Bruxelles given to them by her Confessor Fa H: Jo: Vere in the Yeare of our Ld 1680' (CRS 25, pp180-2)."
 "BD057","1","Father was descended from the family of the earls of Sarsfield (CRS 25, p211)."
 "BD063","1","Her father was a carpenter: spent five years as a novice. No other details"
 "LA241","1","Her father was executed at the Tower in 1680. 
She appears to have severe health problems.
In Bruges Annals is given surname Stafford"
 "AC049","1","Mother a member of the Rookwood of Stanningfield family, many of whom were later Poor Clares as well as members of other orders.
Mentioned in Hardman (1937), pp. 39."
 "AC129","1","Check. Dates do not seem to fit well with those alleged to be her sisters. However, since there seem to have been seven sisters in all, probably from an extensive family since there ages span about 20 years, the dates become less troublesome. "
 "BB006","1","Father was physician to the Petres.  He was imprisoned in the Tower of London and tortutred for his alleged support of Mary Queen of Scots and helping Philip Howard, earl of Arundel's failed escape. (JEK)"
 "BB006","2","Her brother was reconciled to the faith and sent to the English College, Rome, by Roger Filcock SJ. (JEK)"
 "BB006","3","Her uncle, Luke Astlow, had travlled abroad with his friend, Robert Parsons, to join the Jesuits, but died before he had the chance. (JEK)"
 "BB011","1","Related to the martyr, Arthur (in religion Francis) Bell OFM, previously confessor to the Poor Clares at Gravelines and the Franciscans at Brussels."
 "BB013","1","A lady she formerly served paid her dowry."
 "BB043","1","Widowed twice; placed daughter in convent school and entered the novitiate."
 "BB050","1","Educated in convent school from 1680 when her mother entered the novitiate."
 "BB044","1","Educated in the convent school."
 "BB047","1","Her brother, Ralph Corby SJ, was martyred in 1644. (ODNB)Brussels conventual sources give both Corbington and Corby as surname."
 "BB048","1","Her brother, Ralph Corby SJ, was martyred in 1644. (ODNB) Brussels conventual sources give both Corbington and Corby as surname."
 "BB047","2","Conversion of parents recorded in obituary. Her father and mother lived as exiles, eventually agreeing to separate, with her mother becoming a nun and her father, Gerard Corby, becoming a Jesuit laybrother. (ODNB)"
 "BB048","2","Conversion of parents recorded in obituary. Her father and mother lived as exiles, eventually agreeing to separate, with her mother becoming a nun and her father, Gerard Corby, becoming a Jesuit lay brother. (ODNB)"
 "GB052","2","With her husband, she lived in exile changing their name to Corbington, but eventually agreeing to separate. He became a Jesuit lay brother. (ODNB)"
 "GB052","3","Her son, Ralph Corby SJ, was martyred in 1644. (ODNB)
"
 "BB062","1","A foundling child: parents unknown."
 "BB076","1","Resigned as abbess because she was melancholic and paranoiac."
 "LS076","1","Father became a Jesuit laybrother after the death of his wife. "
 "BB076","2","Father became a Jesuit laybrother after the death of his wife.  "
 "BB077","1","Father became a Jesuit laybrother after the death of his wife.  "
 "BB076","3","Attended the convent school."
 "BB077","2","Entered the convent school aged seven."
 "DB032","2","Her dowry was provided by Lord John Caryll, 1st baron Durford in the Jacobite peerage."
 "BB135","1","Her father was martyred at York in 1572.  From 1570 her mother lived in exile, dying in Oct 1596: annals 17-18."
 "BB177","1","Her father died in Gloucester after seven years in prison for recusancy."
 "BB100","1","Her uncle, Fr Francis Ingleby, was martyred. (CRS 14, pp180-1)"
 "BB128","1","Her grandfather, Richard Neale, had been Anglican bishop of Rochester, Lichfield, Lincoln, Durham and Winchester, before finally Archbishop of York. (CRS 14, p188)"
 "LC051","1","Date of death also given as 1855 11 Mar."
 "BB106","1","Baptized in the convent."
 "BB110","1","Was with the Ursulines for two years before entering the Benedictines."
 "BB118","1","In 1763 asked the Archbishop if she could move convent following problems with her sister, Ethelrede, the abbess. (AAM 668 13)"
 "BB119","1","In school at the abbey from September 1726."
 "BB120","1","Resolved to become a nun following her sister Ethelrede's profession. Placed in school with Etheldreda Sep 1726"
 "BB128","2","Entered the school aged eight. annals 165 says she died in 1673 after a most fervent though short life."
 "BB138","1","Embarked upon her vocation following discussions with her confessor, an English Jesuit at Liege."
 "BB138","2","Her body was found to be incorrupt following her death."
 "BB140","1","Became sick so a decree of 5 Feb 1791 from Cardinal Franckenberg dismissed her from her role and gave the powers of abbess to Margaret Tancred.  She remained in the convent with another nun and is buried in Forest."
 "BB147","1","Had a niece who joined the convent once it was back in England, in Winchester."
 "BB153","1","Signed the clothing enquiry with a cross, the profession with her name, indicating that she had been taught to write."
 "BB168","1","Joined the school aged 13 and never left the convent."
 "BB173","1","Though elected abbess in 1794 (confirmed 1796), she had been leading the community since 1791 following a decree of 5 Feb 1791 from Cardinal Franckenberg after Rebecca Pigott had become ill. "
 "BB173","2","She led the community back to England.placed in convent school"
 "BB173","3","Her brother, Sir Thomas Tancred, 5th bart, was an apostate."
 "BB174","1","Her brother, Sir Thomas Tancred, 5th bart, was an apostate.
"
