"uid","forename","surname","name_religion","date_birth","date_death","age_death","national_identity","conv","note","namequal","pbirth","pdeath"
 "GB001","Margaret","Adcroft","Clementina","1765","1815 25 Aug",NULL,NULL,"N",NULL,NULL,NULL,"1412"
 "GB002","Anne","Alexander","Romana",NULL,"1790 26 Apr",NULL,NULL,"N",NULL,NULL,"754","813"
 "GB003","Magdalen","Arden","Mary Magdalen","1736","1797 18 Jun","60",NULL,"N",NULL,NULL,"1560","1204"
 "GB004","Clementina","Arden","Clementina",NULL,"1781 8 Jan",NULL,NULL,"N",NULL,NULL,"1560","813"
 "GB005","Margaret","Arthur","Xaveria",NULL,NULL,"70",NULL,"N",NULL,NULL,"15","1074"
 "GB006","Elizabeth","Bacon","Lucy",NULL,"1670 31 Aug",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB007","Dorothy","Barefoot",NULL,NULL,"1634 27 Sep",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB008","Jane","Bartlett","Monica","1603","1672 aft",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB009","Mary","Bearde","Mary",NULL,NULL,NULL,NULL,"N",NULL,NULL,"1179",NULL
 "GB010","Helen","Beaumont","Aloysia","1612","1635 9 April","23",NULL,"N",NULL,NULL,NULL,"813"
 "GB011","Katherin","Beaumont","Marina","1617","1682  27 Aug","64",NULL,"N",NULL,NULL,NULL,"1074"
 "GB012","Lucy","Beckingham","Scholastica",NULL,NULL,NULL,"English","N",NULL,NULL,NULL,"813"
 "GB013","Mary Berenice","Bedell","Letitia",NULL,NULL,NULL,NULL,"N",NULL,NULL,"531","813"
 "GB014","Mary","Bedingfeld","Benedicta","1758","1811 27 Mar","53",NULL,"N",NULL,NULL,"1010","1204"
 "GB015","Philippa","Bedingfield","Tecla","1609","1636 14 Dec","27",NULL,"N",NULL,NULL,"1389","813"
 "GB016","Margarita","Bedingfield","Eugenia","1619","1637 1 Feb",NULL,NULL,"N",NULL,NULL,NULL,"813"
