"uid","cid","officeid","date_from","date_until","note"
 "GB008","7","10",NULL,NULL,NULL
 "GB011","10","1","1669","1682",NULL
 "GB018","4","9",NULL,"1685",NULL
 "GB019","7","13",NULL,NULL,NULL
 "GB022","7","6",NULL,NULL,NULL
 "GB022","7","4",NULL,NULL,NULL
 "GB028","7","11",NULL,NULL,NULL
 "GB028","7","12",NULL,NULL,NULL
 "LS011","26","14",NULL,NULL,NULL
 "LS012","26","10","1767","1772",NULL
 "GB038","7","3",NULL,NULL,NULL
 "GB047","7","11",NULL,NULL,NULL
 "LA238","2","9","1762","1784",NULL
 "LA226","2","9","1715","1727",NULL
 "LS031","26","9",NULL,NULL,NULL
 "LS032","26","5",NULL,NULL,NULL
 "LS035","26","10","1724","1726",NULL
 "LS035","26","9",NULL,NULL,NULL
 "LS039","26","5",NULL,NULL,NULL
 "LS044","26","14","1773","1776",NULL
 "LS045","26","9","1786","1816",NULL
 "LS050","26","1",NULL,NULL,NULL
 "LS058","26","14","1669","1674",NULL
 "LS060","26","10","1700","1705",NULL
 "LS060","26","9","1720","1729",NULL
 "GB071","9","1","1657","1661",NULL
 "GB074","7","4",NULL,NULL,NULL
 "LS061","26","9","1770","1781",NULL
 "LS061","26","10","1762","1767",NULL
 "LS061","26","7","1767",NULL,NULL
 "LS061","26","14","1769",NULL,NULL
 "LS061","26","12",NULL,NULL,NULL
 "LS061","26","15",NULL,NULL,NULL
 "LS061","26","1",NULL,NULL,NULL
 "LS066","26","9","1698","1720",NULL
 "LS066","26","14",NULL,NULL,NULL
 "LS067","26","10","1735","1740",NULL
 "LS067","26","14","1740",NULL,NULL
 "LS082","26","10","1696","1700",NULL
 "LS089","26","7",NULL,NULL,NULL
 "GB104","7","4",NULL,NULL,NULL
 "GB118","7","1","1650","1696",NULL
 "GB118","7","9",NULL,NULL,NULL
 "LS101","26","9","1652","1698",NULL
 "LS108","26","5",NULL,NULL,NULL
 "BB145","4","4",NULL,NULL,NULL
 "BB145","4","2",NULL,NULL,NULL
 "BB145","4","10",NULL,NULL,NULL
 "GB121","7","2",NULL,NULL,NULL
 "GB126","7","4",NULL,NULL,NULL
 "GB136","7","4",NULL,NULL,NULL
 "GB136","7","2",NULL,NULL,NULL
 "GB139","7","6",NULL,NULL,NULL
 "LS133","26","15",NULL,NULL,NULL
 "GB157","4","7","1652  app","1658",NULL
 "MW153","21","16","1677","1678","Dolebank"
 "GB168","7","4",NULL,NULL,NULL
 "GB168","9","1","1667","1687 15 Dec",NULL
 "LS152","26","14",NULL,NULL,NULL
 "LS163","26","14",NULL,"1739",NULL
 "LS163","26","9","1739",NULL,NULL
 "LS171","26","10","1652","1658",NULL
 "LS171","26","9",NULL,NULL,NULL
 "LS172","26","10","1757","1762",NULL
 "LS177","26","10","1661","1666",NULL
 "LS177","26","9",NULL,NULL,NULL
 "GP026","25","6",NULL,NULL,NULL
 "GP026","25","1","1667 Sep","1697",NULL
 "AC095","15","6",NULL,NULL,NULL
 "GB199","7","11",NULL,NULL,NULL
 "GB207","7","8",NULL,NULL,NULL
 "LS182","26","14",NULL,NULL,NULL
 "LS210","26","10","1746","1751",NULL
 "GB211","7","12",NULL,NULL,NULL
 "GB218","7","10",NULL,NULL,NULL
 "GB219","7","3",NULL,NULL,NULL
 "GB219","7","7",NULL,NULL,NULL
 "GB227","7","12",NULL,NULL,NULL
 "GB227","9","1","1662","1667",NULL
 "GB234","7","4",NULL,NULL,NULL
 "GB234","7","7",NULL,NULL,NULL
 "LS233","26","5",NULL,NULL,NULL
 "LS239","26","9","1781",NULL,NULL
 "LS245","26","9","1749","1770",NULL
 "LS245","26","15",NULL,NULL,NULL
 "GB248","7","8",NULL,NULL,NULL
 "GB251","7","7",NULL,NULL,NULL
 "GB118","7","7",NULL,NULL,NULL
 "LC045","15","9",NULL,NULL,NULL
 "LA201","2","10","1653",NULL,NULL
 "BA145","1","9","1766 Aug","1807",NULL
 "AC020","13","9","1700","1714",NULL
 "LA261","2","9","1652","1690",NULL
 "BB119","4","1","1762","1773",NULL
 "GP027","30","1","1658 Dec","1670",NULL
 "GP062","25","1","1697","1704",NULL
 "GP019","25","1","1705 Jan","1736",NULL
 "GP143","25","1","1609","1613",NULL
 "GP169","25","1","1779","1793",NULL
 "GP174","25","1","1793","1799",NULL
 "GP218","25","1","1736 April","1779",NULL
 "GP263","25","1","1654 Feb","1667",NULL
 "GP270","25","1","1615","1654",NULL
 "GP051","30","8","1644",NULL,NULL
 "GP045","30","11",NULL,NULL,NULL
 "GP213","25","1","1799","1813",NULL
 "GP229","25","11",NULL,NULL,NULL
 "GP229","30","11",NULL,NULL,NULL
 "GP257","30","6","1644",NULL,NULL
 "GP264","30","1","1644","1658",NULL
 "BB107","4","12","1616",NULL,NULL
 "BB107","7","1","1624","1629",NULL
 "LA172","1","3","1629",NULL,NULL
 "BA019","1","7","1655",NULL,NULL
 "BA019","1","9","1661","1693",NULL
 "BA027","1","10",NULL,NULL,NULL
 "BA036","1","10",NULL,NULL,NULL
 "GB101","7","1","1797","1809",NULL
 "GB101","7","9","1796",NULL,NULL
 "GB101","7","7",NULL,NULL,NULL
 "GB101","7","10",NULL,NULL,NULL
 "GB101","7","12",NULL,NULL,NULL
 "GB101","7","3",NULL,NULL,NULL
 "GB208","7","3",NULL,NULL,NULL
 "GB208","7","4",NULL,NULL,NULL
 "GB208","7","7",NULL,NULL,NULL
 "GB040","6","1","1663 28 Nov","1712",NULL
 "GB157","7","4","1652 app","1658",NULL
 "BB152","7","1","1642 Dec","1650 Apr",NULL
 "BD002","16","9","1712","1715",NULL
 "BD002","16","9","1718","1721",NULL
 "BD002","16","9","1724","1727",NULL
 "BD003","16","9","1727","1730",NULL
 "BD008","16","9","1667","1697",NULL
 "BD008","16","9","1700","1703",NULL
 "BD008","16","9","1706","1709",NULL
 "BD010","16","9","1783","1786",NULL
 "BD010","16","9","1789","1792",NULL
 "BD013","16","9","1730","1733",NULL
 "BD015","16","9","1709","1712",NULL
 "BD019","16","9","1786","1789",NULL
 "BD020","16","9","1703","1706",NULL
 "BD021","16","9","1733","1739",NULL
 "BD023","16","9","1743","1746",NULL
 "BD023","16","9","1752","1755",NULL
 "BD023","16","9","1764","1767",NULL
 "BD025","16","9","1697","1700",NULL
 "BD034","16","9","1661","1667",NULL
 "BA045","1","14",NULL,NULL,NULL
 "BD040","16","9","1721","1724",NULL
 "BD049","16","9","1715","1718",NULL
 "BD057","16","9","1739","1740",NULL
 "BD060","16","9","1746","1752",NULL
 "BD060","16","9","1755","1764",NULL
 "BD060","16","9","1767","1770",NULL
 "BD061","16","9","1770","1779",NULL
 "BD074","16","9","1780","1783",NULL
 "BD075","16","9","1740","1743",NULL
 "GB225","7","2",NULL,NULL,NULL
 "GB241","7","8",NULL,NULL,NULL
 "GB241","7","6",NULL,NULL,NULL
 "BB015","4","1","1599","1616",NULL
 "BB018","4","1","1651","1652",NULL
 "BB021","4","9","1672",NULL,NULL
 "BB021","4","1","1682","1713",NULL
 "BB022","4","10","1672",NULL,NULL
 "BB045","4","7",NULL,NULL,NULL
 "BB045","4","9",NULL,NULL,NULL
 "BB050","4","1","1719","1757",NULL
 "BB052","4","8","1652",NULL,NULL
 "BB053","4","11","1672",NULL,NULL
 "BB054","4","3","1672",NULL,NULL
 "BB056","4","7","1747",NULL,NULL
 "BB066","4","11","1640",NULL,NULL
 "BB068","4","4","1773",NULL,NULL
 "BB066","4","6","1652",NULL,NULL
 "BB066","4","9","1661",NULL,NULL
 "BB066","4","8","1672",NULL,NULL
 "BB068","4","7",NULL,NULL,NULL
 "BB068","4","10",NULL,NULL,NULL
 "BB068","4","11",NULL,NULL,NULL
 "BB076","4","1","1677","1682",NULL
 "BB082","4","8","1650",NULL,NULL
 "BB086","5","1","1623","1629",NULL
 "BB094","4","11","1652",NULL,NULL
 "BB033","4","13","1652",NULL,NULL
 "BB099","4","6","1672",NULL,NULL
 "BB105","4","6","1640",NULL,NULL
 "BB107","4","2","1619","1624",NULL
 "BB108","4","9","1652",NULL,NULL
 "BB111","4","7","1623",NULL,NULL
 "BB111","4","9","1639",NULL,NULL
 "BB111","4","1","1642","1651",NULL
 "BB117","4","7","1724",NULL,NULL
 "BB119","4","10",NULL,NULL,NULL
 "BB135","4","1","1616","1642",NULL
 "BB137","4","9","1642",NULL,NULL
 "BB139","4","3","1640",NULL,NULL
 "BB139","4","10","1642",NULL,NULL
 "BB139","4","4","1652",NULL,NULL
 "BB140","4","9","1773",NULL,NULL
 "BB140","4","1","1773","1794",NULL
 "BB145","4","9","1623",NULL,NULL
 "BB155","4","2","1672",NULL,NULL
 "BB156","4","7","1672",NULL,NULL
 "BB157","4","2",NULL,NULL,NULL
 "BB157","4","10",NULL,NULL,NULL
 "BB162","4","9","1640",NULL,NULL
 "BB162","4","9","1650",NULL,NULL
 "BB162","4","7","1652",NULL,NULL
 "BB166","4","4","1623",NULL,NULL
 "BB173","4","2",NULL,NULL,NULL
 "BB173","4","10",NULL,NULL,NULL
 "BB173","4","9",NULL,NULL,NULL
 "BB173","4","1","1796","1797",NULL
 "BB181","4","2","1640",NULL,NULL
 "BB181","4","2","1650",NULL,NULL
 "BB181","4","3","1652",NULL,NULL
 "BB182","4","10","1651",NULL,NULL
 "BB184","4","15","1672",NULL,NULL
 "BB185","4","6","1672",NULL,NULL
 "BB186","4","1","1652","1676",NULL
 "BB191","4","1","1713","1719",NULL
 "BB194","4","1","1757","1762",NULL
 "BB199","4","9","1630",NULL,NULL
 "BB199","4","9","1639",NULL,NULL
 "BB201","4","2","1652",NULL,NULL
 "BB064","4","4","1652",NULL,NULL
 "GP139","30","7","1644",NULL,NULL
 "GP139","30","8","1656","1658",NULL
 "GP139","30","1","1670 Mar","1701",NULL
 "AC095","15","9","1654","1679",NULL
 "GB234","7","1","1730 July","1736",NULL
 "LA024","2","10",NULL,NULL,NULL
 "LA039","2","11",NULL,NULL,NULL
 "LA040","2","3",NULL,NULL,NULL
 "LA040","2","14",NULL,NULL,NULL
 "LA041","2","7",NULL,NULL,NULL
