"idx","uid"
 "1","AP005"
 "1","GP011"
 "1","LS083"
 "1","OB101"
 "1","OB102"
 "2","AP014"
 "2","DB004"
 "2","DB005"
 "2","GB234"
 "2","GB235"
 "2","GB236"
 "2","GP009"
 "2","GP010"
 "2","GP012"
 "2","GP045"
 "2","GP047"
 "2","GP048"
 "2","GP256"
 "2","GP270"
 "2","GP279"
 "2","LA005"
 "2","PA002"
 "2","PA179"
 "2","PA180"
 "2","PA181"
 "2","PA182"
 "3","CB003"
 "3","CB111"
 "3","CB112"
 "3","GP013"
 "3","GP014"
 "4","BA215"
 "4","BA216"
 "4","BB002"
 "4","BB003"
 "4","BB194"
 "4","CB193"
 "4","LA198"
 "4","LB005"
 "4","LS016"
 "4","MW055"
 "4","OB120"
 "4","OB127"
 "4","OB139"
 "4","RP002"
 "4","RP054"
 "4","RP055"
 "4","RP056"
 "5","LA008"
 "5","LA262"
 "5","LC077"
 "5","LS008"
 "5","LS041"
 "5","LS166"
 "5","PA004"
 "6","GB180"
 "6","LA014"
 "6","LA015"
 "6","LA200"
 "6","OB019"
 "6","PA032"
 "7","AC099"
 "7","BA009"
 "7","BA010"
 "7","BA149"
 "7","BF133"
 "7","BF134"
 "7","LA012"
 "7","LA013"
 "7","LA069"
 "7","LA195"
 "7","LS205"
 "7","LS206"
 "7","MW009"
 "7","MW010"
 "7","MW011"
 "7","MW012"
 "7","MW013"
 "7","MW049"
 "7","MW050"
 "8","BF001"
 "8","BF002"
 "8","BF003"
 "8","DB002"
 "8","DB003"
 "8","GB008"
 "8","LA019"
 "8","LA020"
 "8","LA021"
 "8","LS001"
 "9","BA042"
 "9","BB030"
 "9","BB031"
 "9","BF022"
 "9","GB010"
 "9","GB011"
 "9","GB215"
 "9","GB216"
 "10","BA019"
 "10","GB014"
 "10","GP027"
 "10","LA023"
 "10","LC027"
 "10","AC010"
 "10","AC012"
 "10","AC013"
 "10","AC041"
 "10","BA016"
 "10","BA018"
 "10","BA094"
 "10","BA095"
 "10","BB201"
 "10","BF241"
 "10","CB211"
 "10","DB030"
 "10","GB015"
 "10","GB016"
 "10","GB017"
 "10","GB018"
 "10","GP026"
 "10","GP301"
 "10","LA024"
 "10","LA025"
 "10","LC005"
 "10","LC006"
 "10","LC018"
 "10","LC019"
 "10","LC028"
 "10","LC084"
 "10","MW015"
 "10","MW017"
 "10","MW018"
 "10","MW019"
 "10","MW078"
 "10","OB129"
 "10","PA036"
 "10","PA037"
