"pid","title","forename","surname","suffix","note","distinguish"
 "2","Hon","William","Stafford-Howard","2nd earl of Stafford",NULL,NULL
 "3","Mr",NULL,"Gage",NULL,NULL,NULL
 "5","Fr","Edward","Thwing",NULL,"martyr",NULL
 "7","(great)","Philip","Howard","Earl of Arundel",NULL,NULL
 "8","(great)","William","Howard","Viscount Stafford",NULL,NULL
 "9","(half) Rev","John","Tremaine alias Cottam","SJ",NULL,NULL
 "10","Abbe","Jenico","Preston","canon",NULL,NULL
 "12",NULL,"Richard","Neale","Archbishop of York","Protestant",NULL
 "13","Baron",NULL,"Duijnes, van der",NULL,NULL,NULL
 "14","Bishop","Bonaventure","Gifford","of the London district","Cath",NULL
 "15","Bishop","Charles","Walmesley","OSB",NULL,NULL
 "16","Bishop","Francis","Petre",NULL,NULL,NULL
 "17","Bishop","George","Witham",NULL,NULL,NULL
 "18","Bishop","James Robert","Talbot","of the London district",NULL,NULL
 "19","Bishop","James","Smith",NULL,NULL,NULL
 "20","Bishop","James","Talbot",NULL,NULL,NULL
 "21","Bishop","John Joseph","Hornyold","DD",NULL,NULL
 "22","Bishop","John Joseph","Hornyold","DD",NULL,NULL
 "23","Bishop","John Talbot","Stonor","of the London district",NULL,NULL
 "24","Bishop","John","Douglass","of the London district",NULL,NULL
 "25","Bishop","Richard","Smith",NULL,"Bishop of Chalcedon",NULL
 "26","Bishop","Thomas Joseph","Talbot",NULL,NULL,NULL
 "27","Bishop","William","Maire","coadjutor",NULL,NULL
 "29","Captain",NULL,"Nicols",NULL,NULL,NULL
 "30","Captain",NULL,"Ogelve",NULL,NULL,NULL
 "31","Captain","Thomas","Parker",NULL,"East India Company",NULL
 "32","Cardinal","Philip","Howard","OP",NULL,NULL
 "33","Cardinal","William","Allen",NULL,NULL,NULL
 "34","Col",NULL,"Dallison",NULL,NULL,NULL
 "35","Col",NULL,"Dyve",NULL,"Prot",NULL
 "36","Col","Thomas","Morgan",NULL,NULL,NULL
 "37","Colonel","Bernard","Howard",NULL,NULL,NULL
 "39","Colonel","Thomas","Howard ",NULL,NULL,NULL
 "42","Colonel","Thomas","Nelson",NULL,NULL,NULL
 "43","Dame","Jane Catherine","Shea",NULL,NULL,NULL
 "44","Dame","Mary","Archer",NULL,NULL,NULL
 "46","Dom","Alexius Peter","Caryll","OSB",NULL,NULL
 "47","Dom","Edward","Sheldon","OSB",NULL,NULL
 "48","Dom","Gregory","Hesketh","OSB",NULL,NULL
 "49","Dom","J L","Hadley","OSB",NULL,NULL
 "50","Dom","John Cuthbert","Simpson","OSB",NULL,NULL
 "51","Dom","John Placidus ","Gascoigne","OSB","Abbot of Lambspring",NULL
 "52","Dom","Joseph Cuthbert","Wilks","OSB",NULL,NULL
 "54","Dom","Lawrence","Anderton","OSB",NULL,NULL
 "55","Dom","Peter Richard","Walmesley","OSB",NULL,NULL
 "56","Dom","Richard Benedict","Simpson","OSB",NULL,NULL
 "57","Dom","Roger Anselm","Collingwood","OSB",NULL,NULL
 "58","Dr [Physic]","John","Barefoot",NULL,NULL,NULL
 "59","Dr","Charles","Howard","DD",NULL,NULL
 "61","Dr","George","Lutener",NULL,NULL,NULL
 "62","Dr","John","Clement",NULL,"Cath",NULL
 "63","Dr","Philip","Short",NULL,NULL,NULL
 "64","Dr","Thomas","Witham","DD",NULL,NULL
 "65","Father","Henry","Edgeworth",NULL,NULL,NULL
 "66","Fr","Alexander","Keynes","SJ",NULL,NULL
 "67","Fr","Andrew","Gifford","alias Jonathan Cole","Cath",NULL
 "68","Fr","Andrew","Knightley","Archdeacon of the Old Chapter",NULL,NULL
 "69","Fr","Augustine","Gifford",NULL,"Cath",NULL
 "70","Fr","Bruno","Anderton",NULL,NULL,NULL
 "71","Fr","Charles","Waldegrave",NULL,NULL,NULL
 "72","Fr","Christopher","Anderton","SJ","Rector, Rome",NULL
 "73","Fr","Christopher","Witham",NULL,NULL,NULL
 "74","Fr","Edmund ","Thorold","SJ",NULL,NULL
 "75","Fr","Edmund","Bedingfield","canon",NULL,NULL
 "77","Fr","Edmund","Bedingfield","canon",NULL,NULL
 "80","Fr","Francis","Green","SJ",NULL,NULL
 "81","Fr","Francis","Ingleby",NULL,"martyr",NULL
 "82","Fr","George","Busby (Brown)","SJ",NULL,NULL
 "83","Fr","Henry [Placid]","Cary","OSB",NULL,NULL
 "84","Fr","Henry","Hamerton","SJ",NULL,NULL
 "85","Fr","Henry","More",NULL,NULL,NULL
 "86","Fr","James","Betts","O.Cart",NULL,NULL
 "87","Fr","James","Bullstrode",NULL,NULL,NULL
 "88","Fr","John","Busby (Brown)","SJ",NULL,NULL
 "89","Fr","John","Busby",NULL,NULL,NULL
 "90","Fr","John","Colleton",NULL,NULL,NULL
 "91","Fr","John","Plessington",NULL,NULL,NULL
 "92","Fr","John","Southcote",NULL,NULL,NULL
 "93","Fr","John","Warner","SJ",NULL,NULL
 "94","Fr","Joseph Cuthbert","Wilks","OSB",NULL,NULL
 "95","Fr","Joseph","Barrow","SJ",NULL,NULL
 "96","Fr","Lawrence","Breers",NULL,NULL,NULL
 "97","Fr","Richard Barton Vere","Bradshaigh","SJ",NULL,NULL
 "98","Fr","Richard","Barrow","SJ",NULL,NULL
 "99","Fr","Robert","Witham",NULL,NULL,NULL
 "100","Fr","Talbot","Coleman","OFM",NULL,NULL
 "101","Fr","Thomas","Collingwood","SJ",NULL,NULL
 "102","Fr","Thomas","More",NULL,NULL,NULL
