"plid","place","loc","o_p"
 "2","Sarsden","Oxon","1"
 "3","St George","London","1"
 "4","Desborough","Northants","1"
 "5","Ballyfrance","Ireland","1"
 "6","Aston Flamville","Leics","1"
 "8","Compeyne Hall","Somerset","1"
 "9","Braceborough","Lincs","1"
 "11","Warkworth","Northd","1"
 "13","Ballinamultina, Waterford","Ireland","1"
 "15","Limerick","Ireland","1"
 "16","Wetherby","Yorks","1"
 "18","Sudborough Park, nr Kettering","Northants","1"
 "19","Spetisbury","Dorset","1"
 "20","Eslington","Northd","1"
 "21","Aston Hall","Staffs","1"
 "24","Clerkenwell","Middx","1"
 "25","Cranham","Essex","1"
 "26","Flints","Wales","1"
 "27","Arlington","Surrey","1"
 "28","Botsworth","Lincs","1"
 "29","Scargill","Durham","1"
 "30","nr Norwich","Norfolk","1"
 "31","Eindhoven","Low Countries","0"
 "32","Dunsley","Yorks","1"
 "34","Courtrai","Low Countries","0"
 "36","Royal Priory, Pontoise","France","0"
 "37","Hull","Yorks","1"
 "38","Wicklow","Ireland","1"
 "39","Steeple Barton","Oxon","1"
 "41","Ufton Court, Ufton Nervet","Berks","1"
 "42","Rixton Hall, Glazebrook","Lancs","1"
 "43","Fazakerley Hall","Lancs","1"
 "44","Hazlewood","Yorks","1"
 "48","Basing","Hants","1"
 "49","Gifford's Hall, Stoke-by-Nayland","Suffolk","1"
 "50",NULL,"Wales","1"
 "51","Aston","Staffs","1"
 "53","Codoff","Ireland","1"
 "54",NULL,"Monmths","1"
 "55","Angram Grange, Cuxwold","Yorks","1"
 "57","Madeley","Shrops","1"
 "58","co Kildare","Ireland","1"
 "59","Thorndon","Essex","1"
 "61","Sutton Place","Surrey","1"
 "62","Aldershot","Hants","1"
 "63","Arlington","Devon","1"
 "65","Churchill Wood, nr Worcester","Worcs","1"
 "66","Terling","Essex","1"
 "67","Corre Stowen, co Kilkenny","Ireland","1"
 "68","Athelhampton","Dorset","1"
 "69","Wight House","Northd","1"
 "70","Woodhouse","Hants","1"
 "73","Hartley","Hants","1"
 "74","Frickley Hall, nr Doncaster","Yorks","1"
 "75","Milton","Cambs","1"
 "76","Beeston","Norfolk","1"
 "77","Brough Hall, nr Catterick","Yorks","1"
 "78","Bunny","Notts","1"
 "80","Buckland, nr Faringdon","Berks","1"
 "81","Ashby","Leics","1"
 "82","Grimsey","Unidentified","0"
 "83","Sysonby","Leics","1"
 "84","Little Studley","Yorks","1"
 "87","East Lulworth","Dorset","1"
