"idx","relationship"
 "1","mother"
 "2","daughter"
 "3","sister"
 "4","aunt"
 "5","cousin"
 "6","grandmother"
 "7","godmother"
 "8","niece"
 "9","godchild"
 "10","former servant"
 "11","former maid"
 "12","great niece"
 "13","great aunt"
 "14","kinswoman"
 "15","sponsor"
 "16","sibling"
 "17","father"
 "18","husband"
 "19","son"
 "20","brother"
 "21","uncle"
 "22","confessor"
 "23","grandfather"
 "24","godfather"
 "25","nephew"
 "26","half-sister"
 "27","grand-daughter"
 "28","sister-in-law"
 "29","former employer"
 "30","step-mother"
 "31","step-daughter"
 "32","step-sister"
 "33","kinsman"
 "34","great uncle"
 "35","great grandfather"
 
