"refid","srcid","itemref"
 "1","1",""
 "2","2",""
 "3","3","1289"
 "4","3","827"
 "5","3","830"
 "6","3","831"
 "7","3","833"
 "8","3","834"
 "9","3","835"
 "10","3","836"
 "11","3","837"
 "12","3","838"
 "13","3","833-23"
 "14","4",""
 "15","4","(obits)"
 "16","5",""
 "17","6",""
 "18","7",""
 "19","7","35, 37"
 "20","8","101"
 "21","8","101-2"
 "22","8","102"
 "23","8","102, 198"
 "24","8","104"
 "25","8","105"
 "26","8","106-7"
 "27","8","107"
 "28","8","107, 110"
 "29","8","107, 201"
 "30","8","11"
 "32","8","115"
 "33","8","115-6"
 "34","8","117"
 "35","8","118"
 "36","8","119"
 "37","8","131, 200"
 "38","8","132"
 "39","8","132, 200"
 "40","8","132, 201"
 "41","8","133, 175-6, 200"
 "3865","97","191, 245"
 "43","8","16"
 "44","8","177, 198"
 "45","8","18"
 "46","8","19"
 "47","8","191"
 "48","8","193"
 "49","8","198"
 "50","8","199"
 "52","8","200"
 "53","8","201"
 "54","8","24"
 "55","8","27-30"
 "56","8","27-8"
 "57","8","44-5"
 "58","8","48, 51-2"
 "59","8","53-4"
 "60","8","54"
 "61","8","55, 189"
 "62","8","55, 94"
 "63","8","57"
 "64","8","57, 104-5"
 "65","8","58"
 "66","8","60, 102-3"
 "67","8","60, 175"
 "68","8","61"
 "69","8","61, 192"
 "70","8","65"
 "71","8","7, 143, 180"
 "73","8","78"
 "74","8","78-9"
 "75","8","79"
 "76","8","79, 102"
 "77","8","80"
 "78","8","83-4"
 "79","8","91, 113-4"
 "80","8","91, 94, 176"
 "81","8","94, 192"
 "82","8","95"
 "83","8","136-66"
 "84","8","30"
 "85","9",""
 "86","9","23 Aug 1707"
 "87","9","23 Jan 1708"
 "88","10",""
 "89","11",""
 "90","12",""
 "91","110",""
 "92","110","6-7"
 "3645","31","9, 22, 34-5"
 "94","15",""
 "95","16",""
 "96","16","1770"
 "97","17",""
 "98","18",""
 "99","19",""
 "100","20",""
 "101","20","109"
 "102","20","155"
 "103","20","155, 172"
 "104","20","159"
 "105","20","160"
 "106","20","172"
 "107","20","78, 160"
 "108","21",""
 "109","21","13"
 "110","21","17"
 "111","22",""
 "112","23",""
 "113","23","107"
 "114","23","108"
 "115","23","112"
 "116","24",""
 "117","24","Renten"
 "118","24","1632"
 "119","24","1642"
 "120","24","1642, 1738"
 "121","24","1652"
 "122","24","1680"
 "123","25","1624"
 "124","25","1626"
 "125","25","1627"
 "126","25","1629"
 "127","25","1630"
 "128","25","1639"
 "129","25","1640"
 "130","25","1651"
 "131","26",""
 "132","26","1599"
 "133","26","1616"
 "134","26","1652"
 "135","26","1773"
 "136","27","1650"
 "137","27","1672"
 "138","27","1724"
 "139","27","1729"
 "140","27","1747"
 "141","28","38, 56"
 "142","28","36-7"
 "143","29",""
 "144","31","100"
 "145","31","101"
 "146","31","101, 141"
 "147","31","101-2"
 "148","31","103, 123"
 "149","31","106"
 "150","31","106, 125"
 "151","31","107"
 "152","31","109"
 "153","31","110, 111"
 "154","31","117, 123"
 "155","31","22"
 "156","31","23, 29"
 "157","31","23, 52"
 "158","31","24"
 "159","31","25"
 "160","31","26"
 "161","31","26, 46"
 "162","31","26, 67"
 "163","31","28-9, 60"
 "164","31","31-3, 41-2"
 "165","31","31-4, 52-3"
 "166","31","33"
 "167","31","33, 73, 97-8"
 "168","31","33, 108"
 "169","31","33, 35-6, 37"
 "170","31","33, 35-8"
 "171","31","33, 56-80"
 "172","31","38"
 "173","31","38, 50"
 "174","31","40"
 "175","31","40-1, 78"
 "176","31","42"
 "177","31","42, 45"
 "178","31","42, 49"
 "179","31","42, 71"
 "180","31","42, 77"
 "181","31","43"
 "182","31","45"
 "183","31","45, 69-70"
 "184","31","46, 84"
 "185","31","47, 61, 90"
 "186","31","47, 65-6"
 "187","31","48"
 "188","31","48, 78"
 "189","31","49"
 "190","31","57, 81-95"
 "191","31","59"
 "192","31","59, 89"
 "193","31","60, 90"
 "194","31","61"
 "195","31","62"
 "196","31","62, 91"
 "197","31","63"
 "198","31","63, 73-5"
 "199","31","63, 96-7"
 "200","31","63, 100"
 "201","31","64"
 "202","31","64, 98"
 "203","31","65, 67"
 "204","31","67"
 "205","31","67, 98"
 "206","31","67-8"
 "207","31","68"
 "208","31","68, 96-104"
 "209","31","68, 102"
 "210","31","68-9"
 "211","31","69, 99"
 "212","31","71"
 "213","31","71, 100"
 "214","31","71, 107"
 "215","31","71, 107, 138"
