"srcid","cid"
 "1","8"
 "2","12"
 "3","30"
 "4","23"
 "5","2"
 "6","1"
 "6","17"
 "7","17"
 "7","1"
 "8","13"
 "8","14"
 "8","15"
 "8","40"
 "9","3"
 "10","14"
 "11","12"
 "212","40"
 "15","21"
 "16","9"
 "17","3"
 "18","12"
 "19","9"
 "20","34"
 "21","12"
 "22","26"
 "23","21"
 "24","4"
 "25","4"
 "26","4"
 "27","4"
 "28","4"
 "30","26"
 "31","6"
 "32","1"
 "33","10"
 "34","8"
 "35","9"
 "36","24"
 "37","4"
 "38","8"
 "39","10"
 "40","6"
 "41","21"
 "42","21"
 "43","5"
 "44","6"
 "45","15"
 "46","2"
 "48","9"
 "49","7"
 "50","4"
 "51","3"
 "12","13"
 "29","0"
 "52","9"
 "53","12"
 "54","12"
 "55","13"
 "56","4"
 "57","4"
 "58","4"
 "59","7"
 "60","26"
 "61","0"
 "62","2"
 "63","2"
 "64","2"
 "65","4"
 "66","16"
 "67","16"
 "68","4"
 "69","4"
 "70","4"
 "71","17"
 "72","14"
 "73","7"
 "74","34"
 "75","12"
 "76","13"
 "77","4"
 "78","13"
 "79","13"
 "78","15"
 "79","15"
 "80","12"
 "81","4"
 "82","7"
 "83","7"
 "84","7"
 "85","7"
 "86","7"
 "87","7"
 "88","7"
 "89","7"
 "90","10"
 "91","10"
 "92","34"
 "93","21"
 "94","16"
 "95","7"
 "96","17"
 "97","17"
 "98","17"
 "99","2"
 "100","0"
 "101","7"
 "102","7"
 "103","7"
 "104","5"
 "105","7"
 "106","9"
 "107","3"
 "108","4"
 "109","16"
 "110","30"
 "111","25"
 "112","16"
 "113","34"
 "114","21"
 "115","34"
 "116","26"
 "117","1"
 "118","1"
 "119","1"
 "120","10"
 "121","10"
 "122","10"
 "123","10"
 "124","10"
 "125","10"
 "126","10"
 "127","10"
 "128","10"
 "129","10"
 "130","10"
 "131","10"
 "120","6"
 "121","6"
 "122","6"
 "123","6"
 "124","6"
 "125","6"
 "126","6"
 "127","6"
 "128","6"
 "129","6"
 "130","6"
 "131","6"
 "120","24"
 "121","24"
 "122","24"
 "123","24"
 "124","24"
 "125","24"
 "126","24"
 "127","24"
 "128","24"
 "129","24"
 "130","24"
 "131","24"
 "133","7"
 "134","25"
 "135","2"
 "136","3"
 "137","14"
 "138","26"
 "139","2"
 "140","3"
 "141","15"
 "142","15"
 "143","0"
 "147","9"
 "148","26"
 "149","30"
 "150","30"
 "151","30"
 "152","7"
 "153","7"
 "154","7"
 "155","7"
 "156","7"
 "157","7"
 "158","7"
 "159","7"
 "160","1"
 "161","4"
 "163","1"
 "164","1"
 "165","1"
 "166","1"
 "167","1"
 "168","1"
 "169","1"
 "170","1"
 "171","1"
 "172","1"
 "173","1"
 "174","1"
 "175","1"
 "176","1"
 "177","1"
 "178","1"
 "179","1"
 "180","1"
 "181","1"
 "182","0"
 "183","0"
 "184","1"
 "185","0"
 "186","25"
 "187","5"
 "188","30"
 "189","0"
 "190","0"
 "191","13"
 "191","14"
 "191","15"
 "191","40"
 "192","0"
 "193","8"
 "194","0"
 "195","5"
 "196","8"
 "197","5"
 "198","0"
 "199","0"
 "200","25"
 "201","3"
 "202","21"
 "203","25"
 "204","5"
 "205","5"
 "206","6"
 "207","5"
 "208","12"
 "209","2"
 "210","3"
 "211","16"
 
